CollectionDate,data/0/beachId,data/0/beachName,data/0/eColi,data/0/advisory,data/0/statusFlag,data/1/beachId,data/1/beachName,data/1/eColi,data/1/advisory,data/1/statusFlag,data/2/beachId,data/2/beachName,data/2/eColi,data/2/advisory,data/2/statusFlag,data/3/beachId,data/3/beachName,data/3/eColi,data/3/advisory,data/3/statusFlag,data/4/beachId,data/4/beachName,data/4/eColi,data/4/advisory,data/4/statusFlag,data/5/beachId,data/5/beachName,data/5/eColi,data/5/advisory,data/5/statusFlag,data/6/beachId,data/6/beachName,data/6/eColi,data/6/advisory,data/6/statusFlag,data/7/beachId,data/7/beachName,data/7/eColi,data/7/advisory,data/7/statusFlag,data/8/beachId,data/8/beachName,data/8/eColi,data/8/advisory,data/8/statusFlag,data/9/beachId,data/9/beachName,data/9/eColi,data/9/advisory,data/9/statusFlag,data/0
2021-09-06,1,Marie Curtis Park East Beach,180,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,2,Sunnyside Beach,108,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,3,Hanlan's Point Beach,12,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,4,Gibraltar Point Beach,11,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,5,Centre Island Beach,25,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,6,Ward's Island Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,7,Cherry Beach,11,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,8,Woodbine Beaches,16,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,9,Kew Balmy Beach,23,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,10,Bluffer's Beach Park,17,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,
2021-09-05,1,Marie Curtis Park East Beach,57,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,2,Sunnyside Beach,68,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,3,Hanlan's Point Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,4,Gibraltar Point Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,5,Centre Island Beach,23,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,6,Ward's Island Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,7,Cherry Beach,12,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,8,Woodbine Beaches,16,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,9,Kew Balmy Beach,23,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,10,Bluffer's Beach Park,17,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,
2021-09-04,1,Marie Curtis Park East Beach,25,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,2,Sunnyside Beach,42,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,3,Hanlan's Point Beach,11,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,4,Gibraltar Point Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,5,Centre Island Beach,17,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,6,Ward's Island Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,7,Cherry Beach,11,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,8,Woodbine Beaches,18,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,9,Kew Balmy Beach,19,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,10,Bluffer's Beach Park,11,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,
2021-09-03,1,Marie Curtis Park East Beach,18,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,2,Sunnyside Beach,43,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,3,Hanlan's Point Beach,19,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,4,Gibraltar Point Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,5,Centre Island Beach,13,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,6,Ward's Island Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,7,Cherry Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,8,Woodbine Beaches,29,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,9,Kew Balmy Beach,20,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,10,Bluffer's Beach Park,56,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,
2021-09-02,1,Marie Curtis Park East Beach,29,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,2,Sunnyside Beach,76,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,3,Hanlan's Point Beach,17,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,4,Gibraltar Point Beach,,There is no data available for this beach.,NO_DATA,5,Centre Island Beach,19,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,6,Ward's Island Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,7,Cherry Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,8,Woodbine Beaches,79,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,9,Kew Balmy Beach,38,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,10,Bluffer's Beach Park,200,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,
2021-09-01,1,Marie Curtis Park East Beach,22,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,2,Sunnyside Beach,112,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,3,Hanlan's Point Beach,14,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,4,Gibraltar Point Beach,,There is no data available for this beach.,NO_DATA,5,Centre Island Beach,25,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,6,Ward's Island Beach,11,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,7,Cherry Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,8,Woodbine Beaches,123,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,9,Kew Balmy Beach,41,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,10,Bluffer's Beach Park,50,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,
2021-08-31,1,Marie Curtis Park East Beach,59,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,2,Sunnyside Beach,130,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,3,Hanlan's Point Beach,37,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,4,Gibraltar Point Beach,18,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,5,Centre Island Beach,24,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,6,Ward's Island Beach,14,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,7,Cherry Beach,19,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,8,Woodbine Beaches,78,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,9,Kew Balmy Beach,19,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,10,Bluffer's Beach Park,13,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,
2021-08-30,1,Marie Curtis Park East Beach,,E.coli levels predicted to be above 100 E.coli per 100ml of water.,UNSAFE,2,Sunnyside Beach,265,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,3,Hanlan's Point Beach,69,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,4,Gibraltar Point Beach,20,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,5,Centre Island Beach,20,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,6,Ward's Island Beach,17,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,7,Cherry Beach,27,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,8,Woodbine Beaches,99,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,9,Kew Balmy Beach,35,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,10,Bluffer's Beach Park,29,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,
2021-08-29,1,Marie Curtis Park East Beach,,E.coli levels predicted to be above 100 E.coli per 100ml of water.,UNSAFE,2,Sunnyside Beach,159,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,3,Hanlan's Point Beach,47,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,4,Gibraltar Point Beach,16,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,5,Centre Island Beach,33,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,6,Ward's Island Beach,14,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,7,Cherry Beach,14,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,8,Woodbine Beaches,171,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,9,Kew Balmy Beach,116,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,10,Bluffer's Beach Park,144,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,
2021-08-28,1,Marie Curtis Park East Beach,530,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,2,Sunnyside Beach,179,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,3,Hanlan's Point Beach,41,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,4,Gibraltar Point Beach,17,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,5,Centre Island Beach,,There is no data available for this beach.,NO_DATA,6,Ward's Island Beach,11,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,7,Cherry Beach,10,E.coli levels are within the City of Toronto's established beach water quality standard of 100 E.coli per 100ml of water.,SAFE,8,Woodbine Beaches,485,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,9,Kew Balmy Beach,368,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,10,Bluffer's Beach Park,493,E.coli levels exceed the City of Toronto's  established beach water quality standard of 100 E.coli per 100ml of water.,UNSAFE,
